taxon	combined_pct	n_groups_detected	n_groups_total	cv_across_groups	group_1_pct[V1V3_fwdhalf]	group_2_pct[V1V3_revhalf+V3V4_fwdhalf+V3V6_fwdhalf]	group_3_pct[V3V4_revhalf+V4+V4V6_fwdhalf]	group_4_pct[V3V6_revhalf+V4V6_revhalf]	group_5_pct[V5V8_fwdhalf]	group_6_pct[V5V8_revhalf+V6V8_revhalf+V7V8]	group_7_pct[V6V8_fwdhalf+V6V9_fwdhalf]	group_8_pct[V6V9_revhalf]
Leptolyngbya ANT.L67.1	0.0071	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0567	0.0000	0.0000	0.0000
Kitasatospora	0.0069	1	8	NA	0.0000	0.0000	0.0551	0.0000	0.0000	0.0000	0.0000	0.0000
Polymorphobacter	0.0068	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0547	0.0000	0.0000
Subgroup 10	0.0068	4	8	1.213	0.0000	0.0000	0.0061	0.0000	0.0173	0.0194	0.0117	0.0000
Cupriavidus	0.0068	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0542	0.0000	0.0000	0.0000
Methylosinus	0.0068	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0542	0.0000	0.0000	0.0000
Methylocystis	0.0067	2	8	1.895	0.0000	0.0000	0.0000	0.0000	0.0321	0.0219	0.0000	0.0000
Chlamydia	0.0067	3	8	1.506	0.0000	0.0000	0.0000	0.0000	0.0247	0.0097	0.0195	0.0000
Aquicella	0.0067	3	8	1.715	0.0000	0.0000	0.0184	0.0304	0.0000	0.0049	0.0000	0.0000
Acidocella	0.0066	1	8	NA	0.0000	0.0528	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Paenibacillus	0.0066	2	8	2.095	0.0000	0.0384	0.0143	0.0000	0.0000	0.0000	0.0000	0.0000
Longilinea	0.0065	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0523	0.0000	0.0000
Sporocytophaga	0.0065	2	8	2.263	0.0000	0.0000	0.0102	0.0000	0.0419	0.0000	0.0000	0.0000
Spirosoma	0.0065	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0518	0.0000	0.0000	0.0000
Clostridium sensu stricto 10	0.0065	2	8	2.608	0.0000	0.0480	0.0000	0.0000	0.0000	0.0036	0.0000	0.0000
Kineosporia	0.0062	2	8	1.893	0.0000	0.0000	0.0204	0.0000	0.0296	0.0000	0.0000	0.0000
Candidatus Udaeobacter	0.0062	3	8	1.707	0.0000	0.0000	0.0041	0.0000	0.0271	0.0182	0.0000	0.0000
Turneriella	0.0061	3	8	1.516	0.0000	0.0000	0.0122	0.0000	0.0247	0.0122	0.0000	0.0000
Bauldia	0.0061	2	8	2.053	0.0000	0.0000	0.0143	0.0000	0.0345	0.0000	0.0000	0.0000
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.0061	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0486	0.0000	0.0000
MWH-Ta3	0.0060	2	8	1.918	0.0000	0.0000	0.0184	0.0000	0.0296	0.0000	0.0000	0.0000
Parvibium	0.0059	1	8	NA	0.0000	0.0000	0.0469	0.0000	0.0000	0.0000	0.0000	0.0000
Rubrobacter	0.0059	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0469	0.0000
Candidatus Metachlamydia	0.0059	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0468	0.0000	0.0000	0.0000
Crenothrix	0.0058	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0462	0.0000	0.0000
Roseovarius	0.0058	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0462	0.0000	0.0000
Cedecea	0.0057	2	8	2.580	0.0000	0.0000	0.0000	0.0000	0.0419	0.0036	0.0000	0.0000
Fulvivirga	0.0056	2	8	2.423	0.0000	0.0000	0.0000	0.0000	0.0000	0.0061	0.0391	0.0000
Pir4 lineage	0.0056	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0450	0.0000	0.0000
Prochlorococcus MIT9313	0.0055	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0437	0.0000	0.0000
Taibaiella	0.0054	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0430	0.0000
Microscilla	0.0053	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0425	0.0000	0.0000
DEV114	0.0051	2	8	2.166	0.0000	0.0000	0.0000	0.0000	0.0000	0.0097	0.0313	0.0000
Cellvibrio	0.0051	2	8	2.229	0.0000	0.0000	0.0000	0.0000	0.0321	0.0085	0.0000	0.0000
Phaeocystidibacter	0.0051	1	8	NA	0.0000	0.0000	0.0000	0.0405	0.0000	0.0000	0.0000	0.0000
Gillisia	0.0049	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0395	0.0000	0.0000	0.0000
Planktothrix NIVA-CYA 15	0.0049	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0395	0.0000	0.0000	0.0000
Nodosilinea PCC-7104	0.0049	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0389	0.0000	0.0000
Caloramator	0.0048	1	8	NA	0.0000	0.0000	0.0388	0.0000	0.0000	0.0000	0.0000	0.0000
Pseudobacteriovorax	0.0048	1	8	NA	0.0000	0.0000	0.0388	0.0000	0.0000	0.0000	0.0000	0.0000
RBG-16-58-14	0.0048	2	8	2.224	0.0000	0.0000	0.0082	0.0304	0.0000	0.0000	0.0000	0.0000
MND1	0.0048	1	8	NA	0.0000	0.0384	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Methyloversatilis	0.0046	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0370	0.0000	0.0000	0.0000
Paludibacterium	0.0046	2	8	2.203	0.0000	0.0288	0.0082	0.0000	0.0000	0.0000	0.0000	0.0000
UTBCD1	0.0044	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0352	0.0000	0.0000
Actinotalea	0.0043	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0345	0.0000	0.0000	0.0000
Scytonema VB-61278	0.0043	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0345	0.0000	0.0000	0.0000
Algoriphagus	0.0042	2	8	2.493	0.0000	0.0000	0.0000	0.0000	0.0296	0.0036	0.0000	0.0000
Ottowia	0.0041	1	8	NA	0.0000	0.0000	0.0326	0.0000	0.0000	0.0000	0.0000	0.0000
Microvirga	0.0040	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0321	0.0000	0.0000	0.0000
Siphonobacter	0.0040	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0321	0.0000	0.0000	0.0000
Aquimarina	0.0039	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0313	0.0000
TG-45	0.0039	2	8	2.115	0.0000	0.0000	0.0082	0.0000	0.0000	0.0231	0.0000	0.0000
Candidatus Amoebophilus	0.0038	3	8	1.623	0.0000	0.0000	0.0061	0.0000	0.0173	0.0073	0.0000	0.0000
Inhella	0.0038	1	8	NA	0.0000	0.0000	0.0306	0.0000	0.0000	0.0000	0.0000	0.0000
Saprospira	0.0038	1	8	NA	0.0000	0.0000	0.0000	0.0304	0.0000	0.0000	0.0000	0.0000
Ciceribacter	0.0037	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0296	0.0000	0.0000	0.0000
DEV008	0.0036	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0292	0.0000	0.0000
oc32	0.0036	1	8	NA	0.0000	0.0000	0.0286	0.0000	0.0000	0.0000	0.0000	0.0000
Singulisphaera	0.0035	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0279	0.0000	0.0000
Isosphaera	0.0034	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0274	0.0000
Amphiplicatus	0.0034	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0271	0.0000	0.0000	0.0000
Novosphingobium	0.0034	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0271	0.0000	0.0000	0.0000
Filomicrobium	0.0033	2	8	1.858	0.0000	0.0000	0.0143	0.0000	0.0123	0.0000	0.0000	0.0000
possible genus 04	0.0031	3	8	1.551	0.0000	0.0000	0.0041	0.0000	0.0123	0.0085	0.0000	0.0000
CENA384	0.0031	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0247	0.0000	0.0000	0.0000
Pseudorhodoplanes	0.0031	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0247	0.0000	0.0000	0.0000
Minicystis	0.0031	1	8	NA	0.0000	0.0000	0.0245	0.0000	0.0000	0.0000	0.0000	0.0000
Sva0081 sediment group	0.0030	1	8	NA	0.0000	0.0240	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Odoribacter	0.0030	2	8	2.325	0.0000	0.0000	0.0041	0.0000	0.0197	0.0000	0.0000	0.0000
Fibrella	0.0029	2	8	2.362	0.0000	0.0000	0.0000	0.0000	0.0000	0.0036	0.0195	0.0000
Thiomonas	0.0028	1	8	NA	0.0000	0.0000	0.0224	0.0000	0.0000	0.0000	0.0000	0.0000
Phormidium MBIC10003	0.0028	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0222	0.0000	0.0000	0.0000
Roseospirillum	0.0028	2	8	1.989	0.0000	0.0000	0.0000	0.0000	0.0148	0.0073	0.0000	0.0000
Williamsia	0.0027	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0219	0.0000	0.0000
Bacteroides	0.0026	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0207	0.0000	0.0000
Quadrisphaera	0.0026	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0207	0.0000	0.0000
Oxalicibacterium	0.0025	1	8	NA	0.0000	0.0000	0.0204	0.0000	0.0000	0.0000	0.0000	0.0000
Prosthecomicrobium	0.0025	1	8	NA	0.0000	0.0000	0.0204	0.0000	0.0000	0.0000	0.0000	0.0000
Zoogloea	0.0025	1	8	NA	0.0000	0.0000	0.0204	0.0000	0.0000	0.0000	0.0000	0.0000
Moorea	0.0025	1	8	NA	0.0000	0.0000	0.0000	0.0202	0.0000	0.0000	0.0000	0.0000
Aliterella	0.0025	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0197	0.0000	0.0000	0.0000
Kouleothrix	0.0024	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0195	0.0000
Magnetospirillum	0.0023	2	8	1.858	0.0000	0.0000	0.0000	0.0000	0.0099	0.0085	0.0000	0.0000
Duganella	0.0023	1	8	NA	0.0000	0.0000	0.0184	0.0000	0.0000	0.0000	0.0000	0.0000
Glaciecola	0.0023	1	8	NA	0.0000	0.0000	0.0184	0.0000	0.0000	0.0000	0.0000	0.0000
Kineococcus	0.0023	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0182	0.0000	0.0000
Oscillatoria PCC-10802	0.0023	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0182	0.0000	0.0000
Gemmobacter	0.0022	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0173	0.0000	0.0000	0.0000
Parablastomonas	0.0022	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0173	0.0000	0.0000	0.0000
Jatrophihabitans	0.0021	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0170	0.0000	0.0000
Kamptonema PCC-6407	0.0021	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0170	0.0000	0.0000
Rubribacterium	0.0021	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0170	0.0000	0.0000
Myroides	0.0020	1	8	NA	0.0000	0.0000	0.0163	0.0000	0.0000	0.0000	0.0000	0.0000
Sandaracinus	0.0020	1	8	NA	0.0000	0.0000	0.0163	0.0000	0.0000	0.0000	0.0000	0.0000
Lacihabitans	0.0020	2	8	1.920	0.0000	0.0000	0.0000	0.0000	0.0099	0.0061	0.0000	0.0000
Polyangium	0.0020	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0158	0.0000	0.0000
OLB13	0.0020	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0156	0.0000
Parasediminibacterium	0.0018	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0148	0.0000	0.0000	0.0000
Sunxiuqinia	0.0018	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0148	0.0000	0.0000	0.0000
Tropicimonas	0.0018	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0148	0.0000	0.0000	0.0000
Chryseolinea	0.0018	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0146	0.0000	0.0000
Methylovulum	0.0018	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0146	0.0000	0.0000
Paludisphaera	0.0018	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0146	0.0000	0.0000
Promicromonospora	0.0018	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0146	0.0000	0.0000
Rhodocytophaga	0.0018	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0146	0.0000	0.0000
Spirochaeta	0.0018	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0146	0.0000	0.0000
Chitinibacter	0.0018	1	8	NA	0.0000	0.0000	0.0143	0.0000	0.0000	0.0000	0.0000	0.0000
Chitinophaga	0.0018	1	8	NA	0.0000	0.0000	0.0143	0.0000	0.0000	0.0000	0.0000	0.0000
Methylotenera	0.0018	1	8	NA	0.0000	0.0000	0.0143	0.0000	0.0000	0.0000	0.0000	0.0000
Schizothrix LEGE 07164	0.0018	2	8	1.878	0.0000	0.0000	0.0082	0.0000	0.0000	0.0061	0.0000	0.0000
Anaerovorax	0.0017	2	8	2.048	0.0000	0.0000	0.0041	0.0000	0.0000	0.0097	0.0000	0.0000
Roseimicrobium	0.0017	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0134	0.0000	0.0000
Sediminispirochaeta	0.0017	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0134	0.0000	0.0000
Serratia	0.0017	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0134	0.0000	0.0000
Ferrithrix	0.0015	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0123	0.0000	0.0000	0.0000
Lachnospiraceae UCG-007	0.0015	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0123	0.0000	0.0000	0.0000
Methyloceanibacter	0.0015	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0123	0.0000	0.0000	0.0000
Paracoccus	0.0015	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0123	0.0000	0.0000	0.0000
Amnipila	0.0015	1	8	NA	0.0000	0.0000	0.0122	0.0000	0.0000	0.0000	0.0000	0.0000
Methylomicrobium	0.0015	1	8	NA	0.0000	0.0000	0.0122	0.0000	0.0000	0.0000	0.0000	0.0000
Peptococcus	0.0015	1	8	NA	0.0000	0.0000	0.0122	0.0000	0.0000	0.0000	0.0000	0.0000
Blattabacterium	0.0015	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0122	0.0000	0.0000
Rudaea	0.0015	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0122	0.0000	0.0000
Verruc-01	0.0015	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0117	0.0000
Agathobacter	0.0014	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0109	0.0000	0.0000
Calenema	0.0014	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0109	0.0000	0.0000
OM43 clade	0.0014	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0109	0.0000	0.0000
Amantichitinum	0.0013	1	8	NA	0.0000	0.0000	0.0102	0.0000	0.0000	0.0000	0.0000	0.0000
Chromobacterium	0.0013	1	8	NA	0.0000	0.0000	0.0102	0.0000	0.0000	0.0000	0.0000	0.0000
Massilia	0.0013	1	8	NA	0.0000	0.0000	0.0102	0.0000	0.0000	0.0000	0.0000	0.0000
Rivicola	0.0013	1	8	NA	0.0000	0.0000	0.0102	0.0000	0.0000	0.0000	0.0000	0.0000
Aridibacter	0.0013	2	8	1.899	0.0000	0.0000	0.0041	0.0000	0.0000	0.0061	0.0000	0.0000
Arcticibacter	0.0012	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0099	0.0000	0.0000	0.0000
Azospirillum	0.0012	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0099	0.0000	0.0000	0.0000
Candidatus Clavichlamydia	0.0012	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0099	0.0000	0.0000	0.0000
Cyclobacterium	0.0012	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0099	0.0000	0.0000	0.0000
Modicisalibacter	0.0012	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0099	0.0000	0.0000	0.0000
LS-NOB	0.0012	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0097	0.0000	0.0000
SU2 symbiont group	0.0012	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0097	0.0000	0.0000
Terrimicrobium	0.0012	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0097	0.0000	0.0000
Algivirga	0.0012	1	8	NA	0.0000	0.0096	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Clostridium sensu stricto 5	0.0011	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0085	0.0000	0.0000
Eisenibacter	0.0011	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0085	0.0000	0.0000
Microseira Carmichael-Alabama	0.0011	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0085	0.0000	0.0000
Parachlamydia	0.0011	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0085	0.0000	0.0000
Tepidisphaera	0.0011	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0085	0.0000	0.0000
Geitlerinema PCC-7105	0.0010	1	8	NA	0.0000	0.0000	0.0082	0.0000	0.0000	0.0000	0.0000	0.0000
Halioglobus	0.0010	1	8	NA	0.0000	0.0000	0.0082	0.0000	0.0000	0.0000	0.0000	0.0000
Methanosphaera	0.0010	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0078	0.0000
OM27 clade	0.0010	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0078	0.0000
Bernardetia	0.0009	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	0.0000	0.0000
Brevifollis	0.0009	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	0.0000	0.0000
Pedobacter	0.0009	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	0.0000	0.0000
Labrys	0.0009	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0073	0.0000	0.0000
Niabella	0.0009	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0073	0.0000	0.0000
Vogesella	0.0009	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0073	0.0000	0.0000
Tyzzerella	0.0008	1	8	NA	0.0000	0.0000	0.0061	0.0000	0.0000	0.0000	0.0000	0.0000
Anaeromusa-Anaeroarcus	0.0008	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0061	0.0000	0.0000
Hyphomonas	0.0008	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0061	0.0000	0.0000
Methylobacter	0.0008	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0061	0.0000	0.0000
Neosynechococcus	0.0008	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0061	0.0000	0.0000
Alterococcus	0.0006	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0049	0.0000	0.0000
Gloeobacter PCC-7421	0.0006	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0049	0.0000	0.0000
Hymenobacter	0.0006	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0049	0.0000	0.0000
Mangrovibacterium	0.0006	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0049	0.0000	0.0000
Anaerosporomusa	0.0005	1	8	NA	0.0000	0.0000	0.0041	0.0000	0.0000	0.0000	0.0000	0.0000
Blvii28 wastewater-sludge group	0.0005	1	8	NA	0.0000	0.0000	0.0041	0.0000	0.0000	0.0000	0.0000	0.0000
Coxiella	0.0005	1	8	NA	0.0000	0.0000	0.0041	0.0000	0.0000	0.0000	0.0000	0.0000
Plantactinospora	0.0005	1	8	NA	0.0000	0.0000	0.0041	0.0000	0.0000	0.0000	0.0000	0.0000
Desulfovibrio	0.0005	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0036	0.0000	0.0000
Aetherobacter	0.0003	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0024	0.0000	0.0000
Ancalomicrobium	0.0003	1	8	NA	0.0000	0.0000	0.0020	0.0000	0.0000	0.0000	0.0000	0.0000
Candidatus Ovatusbacter	0.0003	1	8	NA	0.0000	0.0000	0.0020	0.0000	0.0000	0.0000	0.0000	0.0000
