taxon	combined_pct	n_groups_detected	n_groups_total	cv_across_groups	group_1_pct[V1V3_fwdhalf]	group_2_pct[V1V3_revhalf+V3V4_fwdhalf+V3V6_fwdhalf]	group_3_pct[V3V4_revhalf+V4+V4V6_fwdhalf]	group_4_pct[V3V6_revhalf+V4V6_revhalf]	group_5_pct[V5V8_fwdhalf]	group_6_pct[V5V8_revhalf+V6V8_revhalf+V7V8]	group_7_pct[V6V8_fwdhalf+V6V9_fwdhalf]	group_8_pct[V6V9_revhalf]
Rhodocyclus	0.0420	3	8	1.970	0.0000	0.0000	0.0877	0.2327	0.0000	0.0158	0.0000	0.0000
Rubrivivax	0.0414	2	8	1.864	0.0000	0.1824	0.1489	0.0000	0.0000	0.0000	0.0000	0.0000
UTCFX1	0.0406	1	8	NA	0.3250	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Galbitalea	0.0405	1	8	NA	0.0000	0.0000	0.0000	0.3238	0.0000	0.0000	0.0000	0.0000
Leptolyngbya ANT.L52.2	0.0402	2	8	1.917	0.0000	0.0000	0.0000	0.0000	0.1233	0.1981	0.0000	0.0000
Niastella	0.0395	2	8	2.003	0.0000	0.0000	0.0000	0.0000	0.2145	0.0000	0.1016	0.0000
Fictibacillus	0.0390	1	8	NA	0.0000	0.3120	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Calothrix PCC-6303	0.0388	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.3107	0.0000	0.0000	0.0000
SWB02	0.0376	2	8	2.146	0.0000	0.0000	0.0000	0.0000	0.2268	0.0741	0.0000	0.0000
OLB12	0.0372	4	8	1.271	0.0000	0.0000	0.0510	0.0000	0.0321	0.1009	0.1133	0.0000
Puia	0.0368	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.2941	0.0000	0.0000
Pseudoflavitalea	0.0364	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.2909	0.0000	0.0000	0.0000
Leptolyngbya RV74	0.0358	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.2860	0.0000	0.0000	0.0000
Azohydromonas	0.0347	2	8	1.852	0.0000	0.1392	0.1387	0.0000	0.0000	0.0000	0.0000	0.0000
Rhizobacter	0.0344	1	8	NA	0.0000	0.0000	0.2754	0.0000	0.0000	0.0000	0.0000	0.0000
FFCH5858	0.0342	1	8	NA	0.0000	0.2736	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
JSC-12	0.0340	2	8	1.852	0.0000	0.0000	0.1367	0.0000	0.1356	0.0000	0.0000	0.0000
marine group	0.0336	2	8	2.742	0.0000	0.0000	0.0000	0.0000	0.2614	0.0073	0.0000	0.0000
Cetobacterium	0.0327	4	8	1.115	0.0000	0.0528	0.0694	0.0000	0.0863	0.0535	0.0000	0.0000
966-1	0.0319	4	8	1.266	0.0000	0.0768	0.0714	0.0000	0.0912	0.0158	0.0000	0.0000
Mucilaginibacter	0.0316	5	8	0.932	0.0000	0.0720	0.0326	0.0000	0.0468	0.0352	0.0664	0.0000
Cerasicoccus	0.0311	4	8	1.326	0.0000	0.0000	0.0143	0.0708	0.0592	0.1045	0.0000	0.0000
Bdellovibrio	0.0309	4	8	1.518	0.0000	0.0912	0.1183	0.0000	0.0247	0.0134	0.0000	0.0000
Flavisolibacter	0.0304	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.2430	0.0000	0.0000
Candidatus Accumulibacter	0.0303	2	8	1.993	0.0000	0.1632	0.0796	0.0000	0.0000	0.0000	0.0000	0.0000
Alsobacter	0.0297	2	8	1.854	0.0000	0.0000	0.1244	0.0000	0.1134	0.0000	0.0000	0.0000
Ramlibacter	0.0295	2	8	2.436	0.0000	0.0000	0.0306	0.0000	0.0000	0.2054	0.0000	0.0000
Cellulosilyticum	0.0294	3	8	2.153	0.0000	0.0000	0.0224	0.0000	0.0296	0.1835	0.0000	0.0000
Pseudoxanthomonas	0.0289	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.2309	0.0000	0.0000
OM60(NOR5) clade	0.0288	5	8	1.692	0.0000	0.0144	0.0102	0.0000	0.0222	0.0389	0.1446	0.0000
Clostridium sensu stricto 13	0.0278	3	8	2.105	0.0000	0.0192	0.1693	0.0000	0.0000	0.0340	0.0000	0.0000
Segetibacter	0.0277	3	8	1.396	0.0000	0.0864	0.0673	0.0000	0.0000	0.0680	0.0000	0.0000
Anaeromyxobacter	0.0275	2	8	1.887	0.0000	0.0912	0.1285	0.0000	0.0000	0.0000	0.0000	0.0000
Candidatus Chloroploca	0.0273	4	8	1.619	0.0000	0.0192	0.0184	0.0000	0.0000	0.0547	0.0000	0.1264
HdN1	0.0269	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2150	0.0000
Ohtaekwangia	0.0266	2	8	2.401	0.0000	0.0000	0.0000	0.0000	0.1825	0.0304	0.0000	0.0000
Geitlerinema LD9	0.0264	2	8	1.966	0.0000	0.0000	0.0000	0.0000	0.1381	0.0729	0.0000	0.0000
Afipia	0.0264	2	8	2.177	0.0000	0.0000	0.0490	0.1619	0.0000	0.0000	0.0000	0.0000
Ruminiclostridium	0.0252	3	8	1.400	0.0000	0.0000	0.0755	0.0000	0.0715	0.0547	0.0000	0.0000
Curvibacter	0.0249	2	8	1.860	0.0000	0.0912	0.1081	0.0000	0.0000	0.0000	0.0000	0.0000
Luteolibacter	0.0242	3	8	1.385	0.0000	0.0000	0.0000	0.0000	0.0641	0.0595	0.0703	0.0000
Paraclostridium	0.0242	1	8	NA	0.0000	0.0000	0.1938	0.0000	0.0000	0.0000	0.0000	0.0000
